Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
38.929300081000065, -77.03579845099995;"{""coordinates"": [-77.03579845099995, 38.929300081000065], ""type"": ""Point""}";100045;110003000396;COLUMBIA HEIGHTS EDUCATION CAMPUS;3101 16TH ST. NW;WASHINGTON;DC;20010;NOT AVAILABLE;(202) 939-7700;1;1;1591;DISTRICT OF COLUMBIA;11001;USA;38.929300081000065;-77.03579845099995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110003000396;2011-09-30T00:00:00Z;IMAGERY;2011-09-30T00:00:00Z;http://checdc.org;MIDDLE;1477;06;12;1100030;114;NOT AVAILABLE
38.96495355500008, -77.01013215699999;"{""coordinates"": [-77.01013215699999, 38.96495355500008], ""type"": ""Point""}";104610;110000800528;FRIENDSHIP PCS - IDEAL MIDDLE;6130 NORTH CAPITOL STREET NW;WASHINGTON;DC;20011;NOT AVAILABLE;(202) 518-3928;1;1;132;DISTRICT OF COLUMBIA;11001;USA;38.96495355500008;-77.01013215699999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110000800528;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.friendshipschools.org;;123;04;08;1100008;9;NOT AVAILABLE
38.963201301000026, -77.02844149199996;"{""coordinates"": [-77.02844149199996, 38.963201301000026], ""type"": ""Point""}";19024;110007300400;CENTER CITY PCS - BRIGHTWOOD;6008 GEORGIA AVENUE NW;WASHINGTON;DC;20011;NOT AVAILABLE;(202) 723-3322;1;1;282;DISTRICT OF COLUMBIA;11001;USA;38.963201301000026;-77.02844149199996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110007300400;2010-02-12T00:00:00Z;IMAGERY/OTHER;2010-02-12T00:00:00Z;http://www.centercitypcs.org;ELEMENTARY;257;PK;08;1100073;25;NOT AVAILABLE
38.87979499000005, -77.01817694199997;"{""coordinates"": [-77.01817694199997, 38.87979499000005], ""type"": ""Point""}";3536;110003000121;AMIDON-BOWEN ES;401 I ST. SW;WASHINGTON;DC;20024;NOT AVAILABLE;(202) 724-4867;1;1;346;DISTRICT OF COLUMBIA;11001;USA;38.87979499000005;-77.01817694199997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110003000121;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-02-11T00:00:00Z;http://profiles.dcps.dc.gov/amidon-bowen+elementary+school;ELEMENTARY;315;PK;05;1100030;31;NOT AVAILABLE
38.84240943000003, -76.99819807099993;"{""coordinates"": [-76.99819807099993, 38.84240943000003], ""type"": ""Point""}";73853;110003000102;KING ES;3200 6TH ST. SE;WASHINGTON;DC;20032;NOT AVAILABLE;(202) 939-4900;1;1;302;DISTRICT OF COLUMBIA;11001;USA;38.84240943000003;-76.99819807099993;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110003000102;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-02-22T00:00:00Z;http://kingdc.org;ELEMENTARY;271;PK;05;1100030;31;NOT AVAILABLE
38.92925283300008, -76.96614968199998;"{""coordinates"": [-76.96614968199998, 38.92925283300008], ""type"": ""Point""}";45581;110000800482;FRIENDSHIP PCS - WOODRIDGE ES;2959 CARLTON AVE NE;WASHINGTON;DC;20018;NOT AVAILABLE;(202) 635-6500;1;1;323;DISTRICT OF COLUMBIA;11001;USA;38.92925283300008;-76.96614968199998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110000800482;2016-01-05T00:00:00Z;IMAGERY;2016-01-15T00:00:00Z;http://www.friendshipschools.org;ELEMENTARY;304;PK;03;1100008;19;NOT AVAILABLE
38.83739626300007, -76.99736367199995;"{""coordinates"": [-76.99736367199995, 38.83739626300007], ""type"": ""Point""}";38226;110003000135;HART MS;601 MISSISSIPPI AVE. SE;WASHINGTON;DC;20032;NOT AVAILABLE;(202) 671-6426;1;1;502;DISTRICT OF COLUMBIA;11001;USA;38.83739626300007;-76.99736367199995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110003000135;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-02-17T00:00:00Z;http://www.charleshartmiddle.org/;ELEMENTARY;470;06;08;1100030;32;NOT AVAILABLE
38.84351709300006, -76.99828345899994;"{""coordinates"": [-76.99828345899994, 38.84351709300006], ""type"": ""Point""}";91564;110009500485;DEMOCRACY PREP CONGRESS HEIGHTS PCS;3100 MARTIN LUTHER KING AVE SE;WASHINGTON;DC;20032;NOT AVAILABLE;(202) 561-0860;1;2;-999;DISTRICT OF COLUMBIA;11001;USA;38.84351709300006;-76.99828345899994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110009500485;2017-10-25T00:00:00Z;IMAGERY/OTHER;2018-01-03T00:00:00Z;http://dpch.democracyprep.org/;NOT REPORTED;-999;M;M;1100095;-999;NOT AVAILABLE
38.86919093100005, -76.97258453299997;"{""coordinates"": [-76.97258453299997, 38.86919093100005], ""type"": ""Point""}";104623;110009300525;LEE MONTESSORI PCS - EAST END;2345 R STREET SE;WASHINGTON;DC;20020;NOT AVAILABLE;(202) 996-6700;1;1;136;DISTRICT OF COLUMBIA;11001;USA;38.86919093100005;-76.97258453299997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110009300525;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.leemontessori.org/;;129;PK;KG;1100093;7;NOT AVAILABLE
38.960581268000055, -77.03021630999996;"{""coordinates"": [-77.03021630999996, 38.960581268000055], ""type"": ""Point""}";46301;110003000112;BRIGHTWOOD EDUCATION CAMPUS;1300 NICHOLSON ST. NW;WASHINGTON;DC;20011;NOT AVAILABLE;(202) 722-5670;1;1;707;DISTRICT OF COLUMBIA;11001;USA;38.960581268000055;-77.03021630999996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=110003000112;2010-01-29T00:00:00Z;IMAGERY;2011-01-31T00:00:00Z;http://profiles.dcps.dc.gov/Brightwood+Education+Campus;HIGH;633;PK;08;1100030;74;10822986
