Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
-14.321353903999977, -170.72664386699998;"{""coordinates"": [-170.72664386699998, -14.321353903999977], ""type"": ""Point""}";50476;600003000017;MANULELE ELEMENTARY SCHOOL;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 699-9617;1;1;889;WESTERN;60050;ASM;-14.321353903999977;-170.72664386699998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000017;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-09T00:00:00Z;http://www.doe.as;ELEMENTARY;889;KG;08;6000030;-999;10776676
-14.346175, -170.747303;"{""coordinates"": [-170.747303, -14.346175], ""type"": ""Point""}";33649;600003000015;LUPELELE ELEMENTARY SCHOOL;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 699-7227;1;1;564;EASTERN;60010;ASM;-14.346175;-170.747303;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000015;2010-01-29T00:00:00Z;IMAGERY/OTHER;2022-06-06T00:00:00Z;http://www.doe.as;MIDDLE;564;KG;08;6000030;-999;NOT AVAILABLE
-14.267987576999928, -170.61624177199997;"{""coordinates"": [-170.61624177199997, -14.267987576999928], ""type"": ""Point""}";50533;600003000007;FAGA'ITUA HIGH SCHOOL;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 622-7504;1;1;439;EASTERN;60010;ASM;-14.267987576999928;-170.61624177199997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000007;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-09T00:00:00Z;http://www.doe.as;MIDDLE;439;09;12;6000030;-999;10777033
-14.28562758299995, -170.65432698299998;"{""coordinates"": [-170.65432698299998, -14.28562758299995], ""type"": ""Point""}";88760;600003000011;LAULI'I ELEMENTARY SCHOOL;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 644-5653;1;1;139;EASTERN;60010;ASM;-14.28562758299995;-170.65432698299998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000011;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-09T00:00:00Z;http://www.doe.as;OTHER;139;KG;08;6000030;-999;10790470
-14.269397818999948, -170.66376880599998;"{""coordinates"": [-170.66376880599998, -14.269397818999948], ""type"": ""Point""}";46988;600003000004;AUA ELEMENTARY SCHOOL;BOX DOE;PAGO PAGO;AS;96799;NOT AVAILABLE;(684) 644-4081;1;1;321;EASTERN;60010;ASM;-14.269397818999948;-170.66376880599998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000004;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-09T00:00:00Z;http://www.asdoe.net/;ELEMENTARY;321;KG;08;6000030;-999;10775427
-14.280483338999943, -170.683921853;"{""coordinates"": [-170.683921853, -14.280483338999943], ""type"": ""Point""}";44704;600003000028;SAMOANA HIGH SCHOOL;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 633-5747;1;1;891;EASTERN;60010;ASM;-14.280483338999943;-170.683921853;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000028;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-09T00:00:00Z;http://www.doe.as;HIGH;891;09;12;6000030;-999;10790538
-14.227966, -169.5116;"{""coordinates"": [-169.5116, -14.227966], ""type"": ""Point""}";75233;600003000016;MANU'A HIGH SCHOOL;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 677-3152;1;1;37;EASTERN;60010;ASM;-14.227966;-169.5116;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000016;2010-01-29T00:00:00Z;IMAGERY/OTHER;2022-06-06T00:00:00Z;http://www.doe.as;ELEMENTARY;37;09;12;6000030;-999;NOT AVAILABLE
-14.327148620999935, -170.80708362399997;"{""coordinates"": [-170.80708362399997, -14.327148620999935], ""type"": ""Point""}";76311;600003000002;ALATAUA-LUA ELEMENTARY SCHOOL;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 688-7516;1;1;181;WESTERN;60050;ASM;-14.327148620999935;-170.80708362399997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000002;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-09T00:00:00Z;http://www.doe.as;ELEMENTARY;181;KG;08;6000030;-999;10778215
-14.329675553999948, -170.72272490699999;"{""coordinates"": [-170.72272490699999, -14.329675553999948], ""type"": ""Point""}";60913;600003000022;TAFUNA ELEMENTARY;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 699-1428;1;1;760;WESTERN;60050;ASM;-14.329675553999948;-170.72272490699999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000022;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-09T00:00:00Z;http://www.doe.as;ELEMENTARY;760;KG;08;6000030;-999;NOT AVAILABLE
-14.269397818999948, -170.66376880599998;"{""coordinates"": [-170.66376880599998, -14.269397818999948], ""type"": ""Point""}";49151;600003000004;AUA ELEMENTARY SCHOOL;BOX DOE;PAGO PAGO;AS;96799;9999;(684) 644-4081;1;1;319;EASTERN;60010;ASM;-14.269397818999948;-170.66376880599998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=600003000004;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-09T00:00:00Z;http://www.doe.as;ELEMENTARY;319;KG;08;6000030;-999;10775427
