Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
34.57240425600003, -112.47267031099994;"{""coordinates"": [-112.47267031099994, 34.57240425600003], ""type"": ""Point""}";101853;040673000570;TAYLOR HICKS SCHOOL;1845 CAMPBELL AVE;PRESCOTT;AZ;86301;1211;(928) 717-3276;1;1;415;YAVAPAI;04025;USA;34.57240425600003;-112.47267031099994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040673000570;2009-10-13T00:00:00Z;IMAGERY;2016-02-08T00:00:00Z;http://www.prescottschools.com/th/;;389;KG;05;0406730;26;NOT AVAILABLE
33.78573435200008, -111.95356720299998;"{""coordinates"": [-111.95356720299998, 33.78573435200008], ""type"": ""Point""}";103224;040000103687;CAVE CREEK ACADEMY OF EXCELLENCE;33016 N 60TH ST;SCOTTSDALE;AZ;85266;5245;(480) 575-2042;1;3;402;MARICOPA;04013;USA;33.78573435200008;-111.95356720299998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040000103687;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.ccusd93.org;;393;KG;12;0400001;9;NOT AVAILABLE
33.44643807400007, -111.73534219599998;"{""coordinates"": [-111.73534219599998, 33.44643807400007], ""type"": ""Point""}";103238;040023203738;SELF DEVELOPMENT ONLINE ACADEMY;1709 N GREENFIELD RD;MESA;AZ;85205;3103;(480) 641-2640;1;7;-999;MARICOPA;04013;USA;33.44643807400007;-111.73534219599998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040023203738;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://selfdevelopmentacademy.com/;;-999;M;M;0400232;-999;NOT AVAILABLE
36.951878400000055, -112.52112438499995;"{""coordinates"": [-112.52112438499995, 36.951878400000055], ""type"": ""Point""}";103246;040034703592;CAVIAT - FREDONIA CENTRAL CAMPUS;222 EAST 200 NORTH;FREDONIA;AZ;86022;NOT AVAILABLE;(928) 645-2737;3;1;0;COCONINO;04005;USA;36.9518784000001;-112.52112438499995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040034703592;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;0;09;12;0400347;-999;NOT AVAILABLE
33.43445533000005, -112.28645551399995;"{""coordinates"": [-112.28645551399995, 33.43445533000005], ""type"": ""Point""}";103282;040089103676;ACADEMY OF MATH AND SCIENCE AVONDALE;10649 W BUCKEYE RD;PHOENIX;AZ;85353;NOT AVAILABLE;(623) 888-6697;1;3;1028;MARICOPA;04013;USA;33.43445533000005;-112.28645551399995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040089103676;2021-03-17T00:00:00Z;IMAGERY;2022-05-13T00:00:00Z;NOT AVAILABLE;;1028;KG;08;0400891;-999;NOT AVAILABLE
33.42348373100003, -112.40500332;"{""coordinates"": [-112.40500332, 33.42348373100003], ""type"": ""Point""}";103298;040099103650;LEGACY TRADITIONAL SCHOOL - GOODYEAR;16060 W LOWER BUCKEYE RD;GOODYEAR;AZ;85338;3633;(623) 233-1100;1;1;537;MARICOPA;04013;USA;33.42348373100003;-112.40500332;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040099103650;2021-03-17T00:00:00Z;IMAGERY;2022-05-13T00:00:00Z;NOT AVAILABLE;;537;KG;08;0400991;-999;NOT AVAILABLE
33.054493740000055, -112.04160524999998;"{""coordinates"": [-112.04160524999998, 33.054493740000055], ""type"": ""Point""}";103353;040472003707;MARICOPA VIRTUAL ACADEMY;44150 W MARICOPA CASA GRANDE H;MARICOPA;AZ;85138;5900;(520) 568-5100;1;1;0;PINAL;04021;USA;33.054493740000055;-112.04160524999998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040472003707;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.musd20.org;;0;KG;12;0404720;-999;NOT AVAILABLE
35.198990355000035, -109.31383121099998;"{""coordinates"": [-109.31383121099998, 35.198990355000035], ""type"": ""Point""}";10197;040674001142;VALLEY HIGH SCHOOL;I 40 AND US 191;SANDERS;AZ;86512;NOT AVAILABLE;(928) 688-4200;1;1;233;APACHE;04001;USA;35.198990355000035;-109.31383121099998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040674001142;2009-10-13T00:00:00Z;IMAGERY;2016-02-02T00:00:00Z;http://www.sandersusd.net;ELEMENTARY;216;09;12;0406740;17;NOT AVAILABLE
34.959286861000066, -110.33200997899996;"{""coordinates"": [-110.33200997899996, 34.959286861000066], ""type"": ""Point""}";10432;040401000321;JOSEPH CITY ELEMENTARY SCHOOL;8176 WESTOVER ST;JOSEPH CITY;AZ;86032;NOT AVAILABLE;(928) 288-3329;1;1;196;NAVAJO;04017;USA;34.959286861000066;-110.33200997899996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040401000321;2009-10-13T00:00:00Z;IMAGERY/OTHER;2016-02-05T00:00:00Z;http://schools.jcusd.org/elementary/#top;ELEMENTARY;184;PK;05;0404010;12;NOT AVAILABLE
33.580262203000075, -112.22228955599996;"{""coordinates"": [-112.22228955599996, 33.580262203000075], ""type"": ""Point""}";11386;040625002475;PEORIA FLEX ACADEMY;7565 W PEORIA AVE STE A;PEORIA;AZ;85345;5940;(623) 412-5475;4;1;89;MARICOPA;04013;USA;33.580262203000075;-112.22228955599996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=040625002475;2010-01-29T00:00:00Z;IMAGERY;2010-05-18T00:00:00Z;http://www.peoriaunified.org/peoriaflex;MIDDLE;80;08;12;0406250;9;NOT AVAILABLE
