Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
38.29875911600004, -104.59024033999998;"{""coordinates"": [-104.59024033999998, 38.29875911600004], ""type"": ""Point""}";100138;080612001029;BELMONT ELEMENTARY SCHOOL;31 MACNAUGHTON ROAD;PUEBLO;CO;81001;1778;(719) 549-7500;1;1;443;PUEBLO;08101;USA;38.29875911600004;-104.59024033999998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080612001029;2009-10-13T00:00:00Z;IMAGERY;2016-03-08T00:00:00Z;NOT AVAILABLE;OTHER;419;PK;05;0806120;24;NOT AVAILABLE
40.43932026500005, -105.12511682999997;"{""coordinates"": [-105.12511682999997, 40.43932026500005], ""type"": ""Point""}";101870;080540006432;PONDEROSA ELEMENTARY;4550 FLORENCE DRIVE;LOVELAND;CO;80538;5507;(970) 679-9500;1;1;379;LARIMER;08069;USA;40.43932026500005;-105.12511682999997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080540006432;2011-09-30T00:00:00Z;GEOCODE;2013-05-28T00:00:00Z;NOT AVAILABLE;;355;KG;05;0805400;24;NOT AVAILABLE
38.94666022900003, -104.76627464199998;"{""coordinates"": [-104.76627464199998, 38.94666022900003], ""type"": ""Point""}";104529;080192006745;NEW SUMMIT CHARTER ACADEMY;7899 LEXINGTON DRIVE;COLORADO SPRINGS;CO;80920;4228;(719) 283-1731;1;1;641;EL PASO;08041;USA;38.94666022900003;-104.76627464199998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080192006745;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://newsummitcharter.org/;;605;KG;08;0801920;36;NOT AVAILABLE
37.464442820000045, -105.88577906699999;"{""coordinates"": [-105.88577906699999, 37.464442820000045], ""type"": ""Point""}";104534;080207006798;ALAMOSA ELEMENTARY SCHOOL K-2;1707 WEST 10TH STREET BUILDING A;ALAMOSA;CO;81101;NOT AVAILABLE;(719) 587-6600;1;3;383;ALAMOSA;08003;USA;37.464442820000045;-105.88577906699999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080207006798;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://elem.alamosa.k12.co.us;;355;KG;02;0802070;28;NOT AVAILABLE
38.79246751300008, -104.79332758499999;"{""coordinates"": [-104.79332758499999, 38.79246751300008], ""type"": ""Point""}";13426;080453000667;HARRISON HIGH SCHOOL;2755 JANITELL ROAD;COLORADO SPRINGS;CO;80906;4102;(719) 579-2080;1;1;1168;EL PASO;08041;USA;38.79246751300008;-104.79332758499999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080453000667;2009-12-10T00:00:00Z;IMAGERY;2019-02-21T00:00:00Z;http://www.hsd2.org/HHS;MIDDLE;1108;09;12;0804530;60;NOT AVAILABLE
38.849022588000025, -104.75108706699996;"{""coordinates"": [-104.75108706699996, 38.849022588000025], ""type"": ""Point""}";14521;080306000254;MITCHELL HIGH SCHOOL;1205 POTTER DRIVE;COLORADO SPRINGS;CO;80909;6908;(719) 328-6600;1;1;1230;EL PASO;08041;USA;38.849022588000025;-104.75108706699996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080306000254;2010-01-29T00:00:00Z;IMAGERY;2010-05-21T00:00:00Z;NOT AVAILABLE;ELEMENTARY;1159;09;12;0803060;71;NOT AVAILABLE
39.80883473200004, -104.75624697599994;"{""coordinates"": [-104.75624697599994, 39.80883473200004], ""type"": ""Point""}";15779;080002002033;HIGH POINT ACADEMY;6750 N. DUNKIRK ST.;AURORA;CO;80019;2107;(303) 217-5152;1;1;744;ADAMS;08001;USA;39.80883473200004;-104.75624697599994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080002002033;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-08-16T00:00:00Z;http://www.highpointacademy.net/;HIGH;711;PK;08;0800020;33;NOT AVAILABLE
40.06304842000003, -105.41253034699997;"{""coordinates"": [-105.41253034699997, 40.06304842000003], ""type"": ""Point""}";17196;080249000117;GOLD HILL ELEMENTARY SCHOOL;890 MAIN STREET;GOLD HILL;CO;80302;8763;(720) 561-5940;1;1;29;BOULDER;08013;USA;40.06304842000003;-105.41253034699997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080249000117;2009-10-13T00:00:00Z;IMAGERY/OTHER;2016-03-04T00:00:00Z;NOT AVAILABLE;ELEMENTARY;25;KG;05;0802490;4;NOT AVAILABLE
39.658532930000035, -104.74634336999998;"{""coordinates"": [-104.74634336999998, 39.658532930000035], ""type"": ""Point""}";19573;080234002009;AURORA FRONTIER K-8;3200 S JERICHO WAY;AURORA;CO;80013;9100;(303) 693-1995;1;1;782;ARAPAHOE;08005;USA;39.658532930000035;-104.74634336999998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080234002009;2010-01-29T00:00:00Z;IMAGERY;2010-08-16T00:00:00Z;http://frontier.aurorak12.org;ELEMENTARY;739;PK;08;0802340;43;NOT AVAILABLE
39.79598450300006, -104.76112466399996;"{""coordinates"": [-104.76112466399996, 39.79598450300006], ""type"": ""Point""}";522;080336006652;KIPP NORTHEAST ELEMENTARY;4635 WALDEN ST. DENVER;DENVER;CO;80249;8738;(720) 452-2551;1;1;518;DENVER;08031;USA;39.79598450300006;-104.76112466399996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=080336006652;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-25T00:00:00Z;http://www.kippcolorado.org;ELEMENTARY;484;PK;04;0803360;34;NOT AVAILABLE
