Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
28.93018953400008, -81.66501177399994;"{""coordinates"": [-81.66501177399994, 28.93018953400008], ""type"": ""Point""}";100812;120105001105;UMATILLA HIGH SCHOOL;320 N TROWELL AVE;UMATILLA;FL;32784;8664;(352) 669-3131;1;1;787;LAKE;12069;USA;28.93018953400008;-81.66501177399994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120105001105;2010-01-29T00:00:00Z;IMAGERY;2010-06-22T00:00:00Z;http://uhs.lake.k12.fl.us;HIGH;747;09;12;1201050;40;NOT AVAILABLE
28.489455220000025, -82.54572291099998;"{""coordinates"": [-82.54572291099998, 28.489455220000025], ""type"": ""Point""}";101703;120081004084;GULF COAST ACADEMY OF SCIENCE AND TECHNOLOGY;10444 TILLERY RD;SPRING HILL;FL;34608;3706;(352) 688-5092;1;1;248;HERNANDO;12053;USA;28.489455220000025;-82.54572291099998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120081004084;2010-01-29T00:00:00Z;IMAGERY;2010-07-09T00:00:00Z;http://www.gulfcoastacademy.org;;232;06;08;1200810;16;NOT AVAILABLE
26.72773678300007, -81.92925389899995;"{""coordinates"": [-81.92925389899995, 26.72773678300007], ""type"": ""Point""}";102087;120108007353;ISLAND COAST HIGH SCHOOL;2125 DE NAVARRA PKWY;CAPE CORAL;FL;33909;3291;(239) 458-0362;1;1;1501;LEE;12071;USA;26.72773678300007;-81.92925389899995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120108007353;2010-01-29T00:00:00Z;IMAGERY/OTHER;2019-12-10T00:00:00Z;http://ich.leeschools.net/;;1432;09;12;1201080;69;NOT AVAILABLE
28.572536252000077, -81.48218158299994;"{""coordinates"": [-81.48218158299994, 28.572536252000077], ""type"": ""Point""}";102268;120144004006;JUVENILE OFFENDERS PROGRAM;3741 VISION BLVD;ORLANDO;FL;32839;NOT AVAILABLE;(407) 836-3326;4;1;16;ORANGE;12095;USA;28.572536252000077;-81.48218158299994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120144004006;2010-01-29T00:00:00Z;IMAGERY;2017-10-31T00:00:00Z;NOT AVAILABLE;;13;07;12;1201440;3;NOT AVAILABLE
30.184490407000055, -84.35967547899997;"{""coordinates"": [-84.35967547899997, 30.184490407000055], ""type"": ""Point""}";102467;120195008689;TEEN PARENT PK CHILD CARE PROGRAM;360 SHADEVILLE RD;CRAWFORDVILLE;FL;32327;2236;(850) 926-0065;1;1;0;WAKULLA;12129;USA;30.184490407000055;-84.35967547899997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120195008689;2021-03-17T00:00:00Z;IMAGERY;2022-05-13T00:00:00Z;http://www.wakullaschooldistrict.org/;;0;PK;PK;1201950;0;NOT AVAILABLE
30.176777309000045, -84.37933550899999;"{""coordinates"": [-84.37933550899999, 30.176777309000045], ""type"": ""Point""}";102468;120195008961;WAKULLA VIRTUAL SCHOOL;69 ARRAN ROAD;CRAWFORDVILLE;FL;32327;NOT AVAILABLE;(850) 926-0065;1;3;0;WAKULLA;12129;USA;30.176777309000045;-84.37933550899999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120195008961;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://WAKULLASCHOOLDISTRICT.ORG;;0;KG;12;1201950;0;NOT AVAILABLE
30.151914388000023, -85.66102048899995;"{""coordinates"": [-85.66102048899995, 30.151914388000023], ""type"": ""Point""}";104635;120009008901;AMIKIDS MARITIME ACADEMY;200 E. BEACH DRIVE;PANAMA CITY;FL;32401;NOT AVAILABLE;(850) 919-2213;1;7;-999;BAY;12005;USA;30.151914388000023;-85.66102048899995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120009008901;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.amikidsmaritimeacademy.org;;-999;M;M;1200090;-999;NOT AVAILABLE
29.031334237000067, -81.47907060799997;"{""coordinates"": [-81.47907060799997, 29.031334237000067], ""type"": ""Point""}";104741;120105008935;HOPE FOREST ACADEMY;46821 JANE LANE;PAISLEY;FL;32767;NOT AVAILABLE;(352) 717-3680;4;4;0;LAKE;12069;USA;29.031334237000067;-81.47907060799997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120105008935;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;0;03;12;1201050;0;NOT AVAILABLE
27.173541751000073, -80.24840366299998;"{""coordinates"": [-80.24840366299998, 27.173541751000073], ""type"": ""Point""}";104756;120129008679;THE HOPE ACADEMY FOR AUTISM;2580 SE WILLOUGHBY BLVD;STUART;FL;33494;NOT AVAILABLE;(772) 334-3288;2;1;35;MARTIN;12085;USA;27.173541751000073;-80.24840366299998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120129008679;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.hopecenterforautism.org;;31;03;06;1201290;4;NOT AVAILABLE
28.53510358500006, -81.17519529499998;"{""coordinates"": [-81.17519529499998, 28.53510358500006], ""type"": ""Point""}";104773;120144008740;SUNSHINE ELEMENTARY;101 LONE PALM ROAD;ORLANDO;FL;32828;NOT AVAILABLE;(407) 317-3200;1;8;629;ORANGE;12095;USA;28.53510358500006;-81.17519529499998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120144008740;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://sunrisees.ocps.net/;;589;KG;07;1201440;40;NOT AVAILABLE
