Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
13.48615714600004, 144.84314524900003;"{""coordinates"": [144.84314524900003, 13.48615714600004], ""type"": ""Point""}";796;660000200041;ADACAO ELEMENTARY SCHOOL;340 CARNATION AVENUE;MANGILAO;GU;96913;NOT AVAILABLE;(671) 300-6500;1;1;543;GUAM;66010;GUM;13.48615714600004;144.84314524900003;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200041;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-26T00:00:00Z;NOT AVAILABLE;MIDDLE;509;PK;05;6600002;34;NOT AVAILABLE
13.470499002000054, 144.80821168500006;"{""coordinates"": [144.80821168500006, 13.470499002000054], ""type"": ""Point""}";809;660000200061;PEDRO C. LUJAN ELEMENTARY SCHOOL;387 E. ROUTE 8;BARRIGADA;GU;96913;NOT AVAILABLE;(671) 734-3971;1;1;370;GUAM;66010;GUM;13.470499002000054;144.80821168500006;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200061;2018-10-23T00:00:00Z;IMAGERY/OTHER;2019-01-08T00:00:00Z;NOT AVAILABLE;OTHER;341;PK;05;6600002;29;NOT AVAILABLE
13.55357166500005, 144.8478437970001;"{""coordinates"": [144.8478437970001, 13.55357166500005], ""type"": ""Point""}";54246;660000200043;ASTUMBO ELEMENTARY SCHOOL;255 CHALAN HACHON;DEDEDO;GU;96929;NOT AVAILABLE;(671) 635-4363;1;1;512;GUAM;66010;GUM;13.55357166500005;144.8478437970001;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200043;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-26T00:00:00Z;NOT AVAILABLE;ELEMENTARY;475;PK;05;6600002;37;NOT AVAILABLE
13.44095782900007, 144.75985418300002;"{""coordinates"": [144.75985418300002, 13.44095782900007], ""type"": ""Point""}";5768;660000200060;ORDOT CHALAN PAGO ELEMENTARY SCHOOL;294 JUDGE SABLAN ST.;ORDOT;GU;96910;NOT AVAILABLE;(671) 477-9645;1;1;465;GUAM;66010;GUM;13.44095782900007;144.75985418300002;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200060;2018-10-23T00:00:00Z;IMAGERY/OTHER;2020-02-05T00:00:00Z;NOT AVAILABLE;OTHER;432;KG;05;6600002;33;NOT AVAILABLE
13.406888768000044, 144.77499947;"{""coordinates"": [144.77499947, 13.406888768000044], ""type"": ""Point""}";54255;660000200056;M.U. LUJAN ELEMENTARY SCHOOL;167 M.U. LUJAN ROAD;YONA;GU;96913;NOT AVAILABLE;(671) 789-1535;1;1;621;GUAM;66010;GUM;13.406888768000044;144.77499947;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200056;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-26T00:00:00Z;NOT AVAILABLE;NOT REPORTED;579;PK;05;6600002;42;NOT AVAILABLE
13.286754393000024, 144.74407159800012;"{""coordinates"": [144.74407159800012, 13.286754393000024], ""type"": ""Point""}";54265;660000200070;INARAJAN MIDDLE SCHOOL;433 BELEN AVENUE;INARAJAN;GU;96915;NOT AVAILABLE;(671) 475-0673;1;1;562;GUAM;66010;GUM;13.286754393000024;144.74407159800012;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200070;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-26T00:00:00Z;NOT AVAILABLE;HIGH;524;06;08;6600002;38;NOT AVAILABLE
13.527699082000026, 144.876714923;"{""coordinates"": [144.876714923, 13.527699082000026], ""type"": ""Point""}";54271;660000200078;SIMON SANCHEZ HIGH SCHOOL;395 JUAN JACINTO ROAD;YIGO;GU;96929;NOT AVAILABLE;(671) 653-3625;1;1;1763;GUAM;66010;GUM;13.527699082000026;144.876714923;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200078;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-26T00:00:00Z;NOT AVAILABLE;MIDDLE;1673;09;12;6600002;90;NOT AVAILABLE
13.498844237000071, 144.79634265900006;"{""coordinates"": [144.79634265900006, 13.498844237000071], ""type"": ""Point""}";54249;660000200046;CHIEF BRODIE ELEMENTARY SCHOOL;225 N. MARINE DRIVE;TAMUNING;GU;96913;NOT AVAILABLE;(671) 647-4444;1;1;285;GUAM;66010;GUM;13.498844237000071;144.79634265900006;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200046;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-26T00:00:00Z;NOT AVAILABLE;HIGH;266;PK;05;6600002;19;NOT AVAILABLE
13.394309015000033, 144.677116;"{""coordinates"": [144.677116, 13.394309015000033], ""type"": ""Point""}";54250;660000200049;H.S. TRUMAN ELEMENTARY SCHOOL;182 PALE FERDINAND WAY;STA.RITA;GU;96915;NOT AVAILABLE;(671) 565-5195;1;1;367;GUAM;66010;GUM;13.394309015000033;144.677116;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200049;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-26T00:00:00Z;NOT AVAILABLE;UNGRADED;342;PK;05;6600002;25;NOT AVAILABLE
13.397118345000024, 144.67904081400002;"{""coordinates"": [144.67904081400002, 13.397118345000024], ""type"": ""Point""}";54272;660000200079;SOUTHERN HIGH SCHOOL;1 JOSE PEREZ LEON GUERRERO DRIVE;SANTA RITA;GU;96915;NOT AVAILABLE;(671) 479-2103;1;1;1286;GUAM;66010;GUM;13.397118345000024;144.67904081400002;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=660000200079;2018-10-23T00:00:00Z;IMAGERY/OTHER;2018-10-26T00:00:00Z;NOT AVAILABLE;ELEMENTARY;1213;09;12;6600002;73;NOT AVAILABLE
