Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
21.490256643000066, -158.07277970499996;"{""coordinates"": [-158.07277970499996, 21.490256643000066], ""type"": ""Point""}";100406;150003000145;SERGEANT SAMUEL K SOLOMON ELEMENTARY SCHOOL;1 SCHOFIELD BARRACKS;WAHIAWA;HI;96786;3799;(808) 624-9500;1;1;786;HONOLULU;15003;USA;21.490256643000066;-158.07277970499996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000145;2010-01-29T00:00:00Z;IMAGERY;2010-06-04T00:00:00Z;NOT AVAILABLE;HIGH;730;PK;05;1500030;56;10810503
21.43876044800004, -158.17442126699996;"{""coordinates"": [-158.17442126699996, 21.43876044800004], ""type"": ""Point""}";2874;150003000230;LEIHOKU ELEMENTARY SCHOOL;86-285 LEIHOKU ST;WAIANAE;HI;96792;NOT AVAILABLE;(808) 697-7100;1;1;839;HONOLULU;15003;USA;21.43876044800004;-158.17442126699996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000230;2009-12-10T00:00:00Z;IMAGERY;2016-03-22T00:00:00Z;NOT AVAILABLE;MIDDLE;779;PK;06;1500030;60;10810422
19.945563476000075, -155.79016529599997;"{""coordinates"": [-155.79016529599997, 19.945563476000075], ""type"": ""Point""}";6597;150003000247;WAIKOLOA ELEMENTARY AND MIDDLE SCHOOL;68-1730 HOOKO ST;WAIKOLOA;HI;96738;NOT AVAILABLE;(808) 883-6808;1;1;858;HAWAII;15001;USA;19.945563476000075;-155.79016529599997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000247;2009-10-13T00:00:00Z;IMAGERY;2016-03-22T00:00:00Z;NOT AVAILABLE;ELEMENTARY;804;PK;08;1500030;54;10810482
21.29471363300007, -157.68522111699997;"{""coordinates"": [-157.68522111699997, 21.29471363300007], ""type"": ""Point""}";7729;150003000208;KAMILOIKI ELEMENTARY SCHOOL;7788 HAWAII KAI DR;HONOLULU;HI;96825;NOT AVAILABLE;(808) 397-5800;1;1;421;HONOLULU;15003;USA;21.29471363300007;-157.68522111699997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000208;2009-12-10T00:00:00Z;IMAGERY;2016-03-23T00:00:00Z;NOT AVAILABLE;HIGH;395;PK;05;1500030;26;10810388
20.88681948800007, -156.66238979599999;"{""coordinates"": [-156.66238979599999, 20.88681948800007], ""type"": ""Point""}";27203;150003000068;LAHAINA INTERMEDIATE SCHOOL;871 LAHAINALUNA RD;LAHAINA;HI;96761;NOT AVAILABLE;(808) 662-3965;1;1;754;MAUI;15009;USA;20.88681948800007;-156.66238979599999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000068;2009-10-13T00:00:00Z;IMAGERY/OTHER;2016-03-23T00:00:00Z;NOT AVAILABLE;ELEMENTARY;704;06;08;1500030;50;10810415
21.38469490800003, -158.01560640399998;"{""coordinates"": [-158.01560640399998, 21.38469490800003], ""type"": ""Point""}";82701;150003000159;WAIPAHU ELEMENTARY SCHOOL;94-465 WAIPAHU ST;WAIPAHU;HI;96797;NOT AVAILABLE;(808) 675-0150;1;1;1037;HONOLULU;15003;USA;21.38469490800003;-158.01560640399998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000159;2009-12-10T00:00:00Z;IMAGERY;2010-06-07T00:00:00Z;NOT AVAILABLE;ELEMENTARY;965;PK;06;1500030;72;10810488
20.839840523000078, -156.34570709899998;"{""coordinates"": [-156.34570709899998, 20.839840523000078], ""type"": ""Point""}";84744;150003000077;PUKALANI ELEMENTARY SCHOOL;2945 IOLANI ST;PUKALANI;HI;96768;NOT AVAILABLE;(808) 573-8760;1;1;488;MAUI;15009;USA;20.839840523000078;-156.34570709899998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000077;2009-10-13T00:00:00Z;IMAGERY;2016-03-23T00:00:00Z;NOT AVAILABLE;ELEMENTARY;459;PK;05;1500030;29;10810502
21.300194044000023, -157.86056688899998;"{""coordinates"": [-157.86056688899998, 21.300194044000023], ""type"": ""Point""}";40973;150003000274;MYRON B. THOMPSON ACADEMY - NEW CENTURY PCS;1040A RICHARDS ST;HONOLULU;HI;96813;NOT AVAILABLE;(808) 441-8000;1;1;547;HONOLULU;15003;USA;21.300194044000023;-157.86056688899998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000274;2010-01-29T00:00:00Z;GEOCODE;2010-06-03T00:00:00Z;NOT AVAILABLE;ELEMENTARY;527;KG;12;1500030;20;NOT AVAILABLE
21.27263798100006, -157.81473572399997;"{""coordinates"": [-157.81473572399997, 21.27263798100006], ""type"": ""Point""}";51218;150003000096;HAWAII SCHOOL FOR THE DEAF AND BLIND;3440 LEAHI AVE;HONOLULU;HI;96815;NOT AVAILABLE;(808) 733-4999;2;1;76;HONOLULU;15003;USA;21.27263798100006;-157.81473572399997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000096;2009-10-13T00:00:00Z;IMAGERY/OTHER;2016-03-22T00:00:00Z;NOT AVAILABLE;HIGH;60;PK;12;1500030;16;10810349
19.71405100800007, -156.03652620199998;"{""coordinates"": [-156.03652620199998, 19.71405100800007], ""type"": ""Point""}";54984;150003000265;WEST HAWAII EXPLORATIONS ACADEMY;73-4500 KAHILIHILI ST;KAILUA-KONA;HI;96740;NOT AVAILABLE;(808) 327-4751;1;1;295;HAWAII;15001;USA;19.71405100800007;-156.03652620199998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=150003000265;2010-01-29T00:00:00Z;IMAGERY/OTHER;2019-05-07T00:00:00Z;NOT AVAILABLE;ELEMENTARY;275;06;12;1500030;20;NOT AVAILABLE
