Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
43.622379686000045, -116.254822806;"{""coordinates"": [-116.254822806, 43.622379686000045], ""type"": ""Point""}";102239;160036000060;KOELSCH ELEMENTARY SCHOOL;2015 NORTH CURTIS ROAD;BOISE;ID;83706;1096;(208) 854-5300;1;1;270;ADA;16001;USA;43.622379686000045;-116.25482280599999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160036000060;2009-12-10T00:00:00Z;IMAGERY;2010-07-14T00:00:00Z;NOT AVAILABLE;;252;PK;06;1600360;18;NOT AVAILABLE
43.65689626400007, -111.912150081;"{""coordinates"": [-111.912150081, 43.65689626400007], ""type"": ""Point""}";102528;160157001128;COTTONWOOD ELEMENTARY;3955 EAST 200 NORTH;RIGBY;ID;83442;NOT AVAILABLE;(208) 332-6800;1;3;647;JEFFERSON;16051;USA;43.65689626400007;-111.912150081;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160157001128;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;619;KG;05;1601570;28;NOT AVAILABLE
42.533154237000076, -114.366242393;"{""coordinates"": [-114.366242393, 42.533154237000076], ""type"": ""Point""}";102532;160171001147;RISE CHARTER SCHOOL;141 CENTER STREET WEST;KIMBERLY;ID;83341;NOT AVAILABLE;(208) 332-6800;1;7;-999;TWIN FALLS;16083;USA;42.533154237000076;-114.366242393;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160171001147;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;-999;M;M;1601710;-999;NOT AVAILABLE
43.57443041300007, -116.28333516499998;"{""coordinates"": [-116.28333516499998, 43.57443041300007], ""type"": ""Point""}";104850;160036001134;BOISE ONLINE SCHOOL - ELEMENTARY;8169 WEST VICTORY ROAD;BOISE;ID;83709;NOT AVAILABLE;(208) 854-4000;1;7;-999;ADA;16001;USA;43.57443041300007;-116.28333516499998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160036001134;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;-999;M;M;1600360;-999;NOT AVAILABLE
43.66066566000006, -116.34089652399996;"{""coordinates"": [-116.34089652399996, 43.66066566000006], ""type"": ""Point""}";107089;160014401111;ISUCCEED ACADEMY;6148 NORTH DISCOVERY WAY SUITE 120;BOISE;ID;83713;0202;(208) 375-3116;4;1;297;ADA;16001;USA;43.66066566000006;-116.34089652399996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160014401111;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;293;09;12;1600144;4;NOT AVAILABLE
43.685188208000056, -116.67726710099998;"{""coordinates"": [-116.67726710099998, 43.685188208000056], ""type"": ""Point""}";13775;160051000731;SACAJAWEA ELEMENTARY SCHOOL;1710 NORTH ILLINOIS;CALDWELL;ID;83605;2110;(208) 455-3333;1;1;453;CANYON;16027;USA;43.685188208000056;-116.67726710099998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160051000731;2009-10-13T00:00:00Z;IMAGERY;2016-03-30T00:00:00Z;NOT AVAILABLE;ELEMENTARY;427;PK;05;1600510;26;NOT AVAILABLE
43.56619818000007, -116.112969449;"{""coordinates"": [-116.112969449, 43.56619818000007], ""type"": ""Point""}";649;160036001002;EAST JUNIOR HIGH SCHOOL;5600 EAST WARM SPRINGS AVENUE;BOISE;ID;83716;8700;(208) 854-4730;1;1;617;ADA;16001;USA;43.56619818000007;-116.11296944899999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160036001002;2011-09-30T00:00:00Z;IMAGERY;2011-09-30T00:00:00Z;NOT AVAILABLE;HIGH;577;07;09;1600360;40;NOT AVAILABLE
48.894488212000056, -116.36025291799996;"{""coordinates"": [-116.36025291799996, 48.894488212000056], ""type"": ""Point""}";2257;160042000091;MOUNT HALL ELEMENTARY SCHOOL;1275 HIGHWAY 1;BONNERS FERRY;ID;83805;9545;(208) 267-5276;1;1;142;BOUNDARY;16021;USA;48.894488212000056;-116.36025291799996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160042000091;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-07-12T00:00:00Z;NOT AVAILABLE;ELEMENTARY;136;KG;05;1600420;6;10801841
46.05204996700007, -116.35235338899997;"{""coordinates"": [-116.35235338899997, 46.05204996700007], ""type"": ""Point""}";3119;160081000160;PRAIRIE ELEMENTARY SCHOOL;1916 EAST STREET;COTTONWOOD;ID;83522;0570;(208) 962-3122;1;1;228;IDAHO;16049;USA;46.05204996700007;-116.35235338899997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160081000160;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-07-12T00:00:00Z;NOT AVAILABLE;ELEMENTARY;214;PK;06;1600810;14;10790731
42.86809400200008, -112.44226868499999;"{""coordinates"": [-112.44226868499999, 42.86809400200008], ""type"": ""Point""}";4858;160264000186;POCATELLO JUVENILE DETENTION;137 SOUTH 5TH STREET;POCATELLO;ID;83205;4926;(208) 234-1080;4;1;9;BANNOCK;16005;USA;42.86809400200008;-112.44226868499999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160264000186;2009-10-13T00:00:00Z;IMAGERY/OTHER;2013-05-28T00:00:00Z;NOT AVAILABLE;ELEMENTARY;8;01;12;1602640;1;NOT AVAILABLE
47.332767114000035, -116.89366924099994;"{""coordinates"": [-116.89366924099994, 47.332767114000035], ""type"": ""Point""}";5404;160081500719;LAKESIDE ELEMENTARY SCHOOL;1345 E STREET;PLUMMER;ID;83851;NOT AVAILABLE;(208) 686-1651;1;1;220;BENEWAH;16009;USA;47.332767114000035;-116.89366924099994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160081500719;2010-01-29T00:00:00Z;IMAGERY/OTHER;2020-01-02T00:00:00Z;NOT AVAILABLE;ELEMENTARY;201;PK;06;1600815;19;NOT AVAILABLE
43.58373559300003, -116.55250309199994;"{""coordinates"": [-116.55250309199994, 43.58373559300003], ""type"": ""Point""}";6971;160234000834;IDAHO ARTS CHARTER SCHOOL;1220 5TH STREET NORTH;NAMPA;ID;83687;3416;(208) 463-4324;1;1;1337;CANYON;16027;USA;43.58373559300003;-116.55250309199994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160234000834;2010-01-29T00:00:00Z;IMAGERY/OTHER;2020-04-02T00:00:00Z;NOT AVAILABLE;ELEMENTARY;1274;PK;12;1602340;63;NOT AVAILABLE
46.49828175500005, -115.79806625999998;"{""coordinates"": [-115.79806625999998, 46.49828175500005], ""type"": ""Point""}";9590;160252001059;IDAHO YOUTH CHALLENGE ACADEMY SPRING;117 TIMBERLINE DRIVE;PIERCE;ID;83546;5000;(208) 476-7293;4;1;0;CLEARWATER;16035;USA;46.49828175500005;-115.79806625999998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160252001059;2015-05-08T00:00:00Z;IMAGERY/OTHER;2015-06-22T00:00:00Z;NOT AVAILABLE;OTHER;0;09;12;1602520;-999;NOT AVAILABLE
42.55217367800003, -114.46243646999994;"{""coordinates"": [-114.46243646999994, 42.55217367800003], ""type"": ""Point""}";93454;160324000548;BICKEL ELEMENTARY SCHOOL;607 2ND AVENUE EAST;TWIN FALLS;ID;83301;7128;(208) 733-4116;1;1;225;TWIN FALLS;16083;USA;42.55217367800003;-114.46243646999994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=160324000548;2009-10-13T00:00:00Z;IMAGERY/OTHER;2010-07-15T00:00:00Z;NOT AVAILABLE;ELEMENTARY;209;PK;05;1603240;16;10790815
