Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
42.76473168100006, -78.74868142499997;"{""coordinates"": [-78.74868142499997, 42.76473168100006], ""type"": ""Point""}";100473;362190003111;ORCHARD PARK MIDDLE SCHOOL;60 S LINCOLN AVE;ORCHARD PARK;NY;14127;3342;(716) 209-6227;1;1;1212;ERIE;36029;USA;42.76473168100006;-78.74868142499997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=362190003111;2009-12-10T00:00:00Z;IMAGERY;2010-06-18T00:00:00Z;http://www.opschools.org;ELEMENTARY;1110;06;08;3621900;102;10812602
40.760246926000036, -73.81847230399995;"{""coordinates"": [-73.81847230399995, 40.760246926000036], ""type"": ""Point""}";101665;360012202650;JHS 189 DANIEL CARTER BEARD;144-80 BARCLAY AVE;FLUSHING;NY;11355;NOT AVAILABLE;(718) 359-6676;1;1;768;QUEENS;36081;USA;40.760246926000036;-73.81847230399995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360012202650;2009-10-13T00:00:00Z;IMAGERY/OTHER;2010-05-17T00:00:00Z;http://www.jhs189q.com;MIDDLE;716;06;08;3600122;52;NOT AVAILABLE
40.72654297200006, -73.60366210799998;"{""coordinates"": [-73.60366210799998, 40.72654297200006], ""type"": ""Point""}";105820;360116906639;ACADEMY CHARTER SCHOOL-UNIONDALE;100 CHARLES LINDBERGH BLVD;UNIONDALE;NY;11553;NOT AVAILABLE;(516) 408-2200;1;1;495;NASSAU;36059;USA;40.72654297200006;-73.60366210799998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360116906639;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.academycharterschool.org;;463;KG;09;3601169;32;NOT AVAILABLE
40.853498794000075, -73.93297486699998;"{""coordinates"": [-73.93297486699998, 40.853498794000075], ""type"": ""Point""}";105822;360117106637;ZETA CHARTER SCHOOL - INWOOD 1;652 W 187TH ST;NEW YORK;NY;10033;NOT AVAILABLE;(929) 447-5281;1;1;420;NEW YORK;36061;USA;40.853498794000075;-73.93297486699998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360117106637;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://zetaschools.org;;420;PK;03;3601171;-999;NOT AVAILABLE
40.70108569100006, -73.88133439299997;"{""coordinates"": [-73.88133439299997, 40.70108569100006], ""type"": ""Point""}";105829;360117806656;ELM COMMUNITY CHARTER SCHOOL;69-26 COOPER AVE;GLENDALE;NY;11385;NOT AVAILABLE;(917) 699-4212;1;1;253;QUEENS;36081;USA;40.70108569100006;-73.88133439299997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360117806656;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://elmcharterschool.org;;230;KG;03;3601178;23;NOT AVAILABLE
40.642804987000034, -74.01219517999994;"{""coordinates"": [-74.01219517999994, 40.642804987000034], ""type"": ""Point""}";105856;360120506696;LEEP DUAL LANGUAGE ACADEMY CHARTER SCHOOL;5323 5TH AVE-2ND FL;BROOKLYN;NY;11220;NOT AVAILABLE;(917) 819-5337;1;1;266;KINGS;36047;USA;40.642804987000034;-74.01219517999994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360120506696;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.leepacademies.org;;244;KG;02;3601205;22;NOT AVAILABLE
42.93558847700007, -78.84423375399996;"{""coordinates"": [-78.84423375399996, 42.93558847700007], ""type"": ""Point""}";105866;360121506708;BUFFALO CREEK ACADEMY CHARTER SCHOOL;33 CHENANGO ST;BUFFALO;NY;14213;NOT AVAILABLE;(716) 602-9472;1;3;77;ERIE;36029;USA;42.93558847700007;-78.84423375399996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360121506708;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;70;05;06;3601215;7;NOT AVAILABLE
40.78508152300003, -73.84362589699998;"{""coordinates"": [-73.84362589699998, 40.78508152300003], ""type"": ""Point""}";107187;360012206665;COLLEGE POINT COLLABORATIVE;124-06 14TH AVE;COLLEGE POINT;NY;11356;NOT AVAILABLE;(929) 362-3300;1;1;526;QUEENS;36081;USA;40.78508152300003;-73.84362589699998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360012206665;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;483;06;08;3600122;43;NOT AVAILABLE
43.094399750000036, -76.18283079299994;"{""coordinates"": [-76.18283079299994, 43.094399750000036], ""type"": ""Point""}";10424;361752001560;CHESTNUT HILL MIDDLE SCHOOL;204 SASLON PARK DR;LIVERPOOL;NY;13088;6498;(315) 453-0245;1;1;376;ONONDAGA;36067;USA;43.094399750000036;-76.18283079299994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=361752001560;2010-01-29T00:00:00Z;IMAGERY;2010-08-23T00:00:00Z;http://www.liverpool.k12.ny.us;ELEMENTARY;342;07;08;3617520;34;10790662
40.83645328700004, -73.89275968499999;"{""coordinates"": [-73.89275968499999, 40.83645328700004], ""type"": ""Point""}";11122;360009002260;PS 61 FRANCISCO OLLER;1550 CROTONA PARK E;BRONX;NY;10460;4806;(718) 542-7230;1;1;280;BRONX;36005;USA;40.83645328700004;-73.89275968499999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360009002260;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-04-13T00:00:00Z;NOT AVAILABLE;ELEMENTARY;259;PK;05;3600090;21;NOT AVAILABLE
