Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
45.39243273900007, -122.792946057;"{""coordinates"": [-122.792946057, 45.39243273900007], ""type"": ""Point""}";100238;411224000381;HAZELBROOK MIDDLE SCHOOL;11300 SW HAZELBROOK RD;TUALATIN;OR;97062;6980;(503) 431-5100;1;1;975;WASHINGTON;41067;USA;45.39243273900007;-122.792946057;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=411224000381;2009-10-13T00:00:00Z;IMAGERY/OTHER;2010-08-03T00:00:00Z;http://hazelbrook.ttsdschools.org;ELEMENTARY;925;06;08;4112240;50;NOT AVAILABLE
45.50396566900008, -122.91520290299997;"{""coordinates"": [-122.91520290299997, 45.50396566900008], ""type"": ""Point""}";101020;410002301248;CENTURY HIGH SCHOOL;2000 SE CENTURY BLVD;HILLSBORO;OR;97123;8390;(503) 844-1800;1;1;1577;WASHINGTON;41067;USA;45.50396566900008;-122.91520290299997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=410002301248;2009-12-10T00:00:00Z;IMAGERY/OTHER;2011-11-07T00:00:00Z;http://schools.hsd.k12.or.us/century/Home/tabid/1087/Default.aspx;ELEMENTARY;1517;09;12;4100023;60;10783870
45.53248240700003, -122.92289826799998;"{""coordinates"": [-122.92289826799998, 45.53248240700003], ""type"": ""Point""}";106042;410002201893;OREGON VIRTUAL EDUCATION (ORVED);5825 NE RAY CIR;HILLSBORO;OR;97124;6436;(503) 614-1861;1;3;0;WASHINGTON;41067;USA;45.53248240700003;-122.92289826799998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=410002201893;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.nwresd.org/;;0;KG;12;4100022;0;NOT AVAILABLE
44.77780989000007, -117.83397450099994;"{""coordinates"": [-117.83397450099994, 44.77780989000007], ""type"": ""Point""}";106046;410171001879;BAKER VIRTUAL ACADEMY;2090 4TH ST;BAKER CITY;OR;97814;3318;(541) 524-2260;1;3;86;BAKER;41001;USA;44.77780989000007;-117.83397450099994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=410171001879;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://baker5j.org;;83;KG;06;4101710;3;NOT AVAILABLE
44.39028734000004, -123.08771720199996;"{""coordinates"": [-123.08771720199996, 44.39028734000004], ""type"": ""Point""}";106051;410291001890;CENTRAL LINN ONLINE ACADEMY;32433 HIGHWAY 228;HALSEY;OR;97348;9719;(541) 369-2813;1;3;75;LINN;41043;USA;44.39028734000004;-123.08771720199996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=410291001890;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://centrallinn.k12.or.us;;73;KG;12;4102910;2;NOT AVAILABLE
45.09481667600005, -123.39380627899999;"{""coordinates"": [-123.39380627899999, 45.09481667600005], ""type"": ""Point""}";11599;411122001803;SHERIDAN ALLPREP ACADEMY;339 NW SHERMAN ST;SHERIDAN;OR;97378;1299;(503) 843-9330;1;1;198;YAMHILL;41071;USA;45.09481667600005;-123.39380627899999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=411122001803;2012-11-02T00:00:00Z;IMAGERY;2013-02-27T00:00:00Z;http://www.sheridanallprep.org/;HIGH;189;KG;12;4111220;9;NOT AVAILABLE
45.515714065000054, -122.85167137999997;"{""coordinates"": [-122.85167137999997, 45.515714065000054], ""type"": ""Point""}";11925;410192001321;ELMONICA ELEMENTARY SCHOOL;16950 SW LISA CT;BEAVERTON;OR;97006;4100;(503) 356-2080;1;1;495;WASHINGTON;41067;USA;45.515714065000054;-122.85167137999997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=410192001321;2009-12-10T00:00:00Z;IMAGERY/OTHER;2010-08-03T00:00:00Z;http://elmonica.beaverton.k12.or.us;ELEMENTARY;465;KG;05;4101920;30;NOT AVAILABLE
43.21733753800004, -123.38157202699995;"{""coordinates"": [-123.38157202699995, 43.21733753800004], ""type"": ""Point""}";12571;411071000290;FULLERTON IV ELEMENTARY SCHOOL;2560 W BRADFORD AVE;ROSEBURG;OR;97470;2525;(541) 440-4081;1;1;368;DOUGLAS;41019;USA;43.21733753800004;-123.38157202699995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=411071000290;2009-10-13T00:00:00Z;IMAGERY/OTHER;2010-07-29T00:00:00Z;http://www.roseburg.k12.or.us/fullerton;ELEMENTARY;348;KG;05;4110710;20;10800068
45.51077699000007, -122.41985086699998;"{""coordinates"": [-122.41985086699998, 45.51077699000007], ""type"": ""Point""}";12897;410600001733;GRESHAM ARTHUR ACADEMY;1890 NE CLEVELAND AVE;GRESHAM;OR;97030;NOT AVAILABLE;(503) 667-4900;1;1;180;MULTNOMAH;41051;USA;45.51077699000007;-122.41985086699998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=410600001733;2010-01-29T00:00:00Z;IMAGERY;2010-05-19T00:00:00Z;http://gaa.arthuracademy.org/;ELEMENTARY;170;KG;05;4106000;10;NOT AVAILABLE
45.15343181700007, -122.84780475399998;"{""coordinates"": [-122.84780475399998, 45.15343181700007], ""type"": ""Point""}";18487;411353001723;WOODBURN ARTS AND COMMUNICATIONS ACADEMY;1785 N FRONT ST;WOODBURN;OR;97071;9799;(503) 980-6250;1;1;413;MARION;41047;USA;45.15343181700007;-122.84780475399998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=411353001723;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-07-13T00:00:00Z;http://www.woodburn.k12.or.us;ELEMENTARY;398;09;12;4113530;15;NOT AVAILABLE
