Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
18.268055263000065, -66.64430343499998;"{""coordinates"": [-66.64430343499998, 18.268055263000065], ""type"": ""Point""}";13245;720003001777;SU MARTA LAFONTAINE;CARR 613 KM 3 HM 2 BO CAONILLAS;UTUADO;PR;00641;NOT AVAILABLE;(787) 894-0000;1;1;103;UTUADO;72141;PRI;18.268055263000065;-66.64430343499998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003001777;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-14T00:00:00Z;NOT AVAILABLE;ELEMENTARY;91;KG;08;7200030;12;10804133
18.29771138700005, -66.78145326399994;"{""coordinates"": [-66.78145326399994, 18.29771138700005], ""type"": ""Point""}";15135;720003000567;DR EFRAIN GONZALEZ TEJERA;CARR 111 KM 16.6 BO ANGELES;UTUADO;PR;00641;NOT AVAILABLE;(787) 894-7245;1;1;134;UTUADO;72141;PRI;18.29771138700005;-66.78145326399994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003000567;2010-01-29T00:00:00Z;GEOCODE;2010-09-14T00:00:00Z;NOT AVAILABLE;HIGH;123;PK;05;7200030;11;NOT AVAILABLE
18.114875915000027, -66.16749461899997;"{""coordinates"": [-66.16749461899997, 18.114875915000027], ""type"": ""Point""}";15710;720003000176;BENIGNO FERNANDEZ GARCIA;CALLE BARBOSA FINAL;CAYEY;PR;00736;NOT AVAILABLE;(787) 738-2626;1;1;376;CAYEY;72035;PRI;18.114875915000027;-66.16749461899997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003000176;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-17T00:00:00Z;NOT AVAILABLE;HIGH;344;06;08;7200030;32;NOT AVAILABLE
18.387335396000026, -65.88483914499994;"{""coordinates"": [-65.88483914499994, 18.387335396000026], ""type"": ""Point""}";126;720003001942;VOC WILLIAM RIVERA BETANCOURT (BO SAN ISIDRO VOCACIONAL);BO SAN ISIDRO PR 188;CANOVANAS;PR;00729;NOT AVAILABLE;(787) 256-8700;3;1;511;CANÓVANAS;72029;PRI;18.387335396000026;-65.88483914499994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003001942;2018-10-23T00:00:00Z;IMAGERY;2018-10-25T00:00:00Z;NOT AVAILABLE;HIGH;479;09;12;7200030;32;NOT AVAILABLE
18.24159815200005, -65.74559601899995;"{""coordinates"": [-65.74559601899995, 18.24159815200005], ""type"": ""Point""}";2543;720003000405;QUEBRADA GRANDE;CALLE 3 BO DUQUE ESQ 8 PARCELAS VIEJAS;NAGUABO;PR;00718;NOT AVAILABLE;(787) 874-0430;1;1;223;NAGUABO;72103;PRI;18.24159815200005;-65.74559601899995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003000405;2010-01-29T00:00:00Z;IMAGERY;2010-09-17T00:00:00Z;NOT AVAILABLE;ELEMENTARY;207;KG;05;7200030;16;NOT AVAILABLE
18.172328071000038, -65.87630296699996;"{""coordinates"": [-65.87630296699996, 18.172328071000038], ""type"": ""Point""}";9309;720003001915;SANTIAGO TORRES;BO TEJAS SECTOR MONTELLANOS CALLE EULOGIO REYES;LAS PIEDRAS;PR;00771;NOT AVAILABLE;(787) 733-1454;1;1;299;LAS PIEDRAS;72085;PRI;18.172328071000038;-65.87630296699996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003001915;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-20T00:00:00Z;NOT AVAILABLE;HIGH;275;06;08;7200030;24;NOT AVAILABLE
18.073904396000046, -66.94956317699996;"{""coordinates"": [-66.94956317699996, 18.073904396000046], ""type"": ""Point""}";90420;720003000734;LUIS NEGRON LOPEZ;CARR #368 KM 1.0 BO MACHUCHAL;SABANA GRANDE;PR;00637;NOT AVAILABLE;(787) 804-2036;1;1;730;SABANA GRANDE;72121;PRI;18.073904396000046;-66.94956317699996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003000734;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-16T00:00:00Z;NOT AVAILABLE;ELEMENTARY;683;09;12;7200030;47;NOT AVAILABLE
18.07782452200007, -66.35929190499996;"{""coordinates"": [-66.35929190499996, 18.07782452200007], ""type"": ""Point""}";93111;720003000922;PURIFICACION RODRIGUEZ;CALLE RODRIGUEZ HIDALGO ESQ CARRION MADURO;COAMO;PR;00769;NOT AVAILABLE;(787) 825-1684;1;1;327;COAMO;72043;PRI;18.07782452200007;-66.35929190499996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003000922;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-20T00:00:00Z;NOT AVAILABLE;ELEMENTARY;303;KG;05;7200030;24;NOT AVAILABLE
18.294284340000047, -67.13953069499996;"{""coordinates"": [-67.13953069499996, 18.294284340000047], ""type"": ""Point""}";93835;720003002060;LUIS MUNOZ MARIN;CARR. 402 KM. 1 HM.4 BO.MARIAS;ANASCO;PR;00610;NOT AVAILABLE;(787) 826-1476;1;1;463;AÑASCO;72011;PRI;18.294284340000047;-67.13953069499996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003002060;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-08T00:00:00Z;NOT AVAILABLE;HIGH;429;09;12;7200030;34;NOT AVAILABLE
18.40043, -66.306157;"{""coordinates"": [-66.306157, 18.40043], ""type"": ""Point""}";73609;720003001790;ELISA DAVILA VAZQUEZ (ESPINOSA ADENTRO);CARR 679 KM 2 HM 3 SECT FORTUNA BO ESPINOSA;VEGA ALTA;PR;00692;NOT AVAILABLE;(787) 883-1165;1;1;179;CATAÑO;72033;PRI;18.40043;-66.306157;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=720003001790;2010-01-29T00:00:00Z;IMAGERY/OTHER;2022-06-06T00:00:00Z;NOT AVAILABLE;MIDDLE;164;KG;05;7200030;15;NOT AVAILABLE
