Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
36.11129389800004, -84.13211565599994;"{""coordinates"": [-84.13211565599994, 36.11129389800004], ""type"": ""Point""}";102353;470009002163;ANDERSON COUNTY HEAD START / PRESCHOOL;708 N. MAIN ST;CLINTON;TN;37716;NOT AVAILABLE;(865) 463-2833;1;1;67;ANDERSON;47001;USA;36.11129389800004;-84.13211565599994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470009002163;2021-03-17T00:00:00Z;IMAGERY/OTHER;2021-05-09T00:00:00Z;NOT AVAILABLE;;64;PK;PK;4700090;3;NOT AVAILABLE
36.154587255000024, -86.85077437999996;"{""coordinates"": [-86.85077437999996, 36.154587255000024], ""type"": ""Point""}";102396;470318002125;W. A. BASS ADULT PROGRAM;5300 DELAWARE AVE;NASHVILLE;TN;37209;NOT AVAILABLE;(615) 298-8053;1;1;251;DAVIDSON;47037;USA;36.154587255000024;-86.85077437999996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470318002125;2021-03-17T00:00:00Z;IMAGERY/OTHER;2021-05-09T00:00:00Z;http://schools.mnps.org/wa-bass-learning-center;;250;09;12;4703180;1;NOT AVAILABLE
35.13973255700006, -89.99999541099999;"{""coordinates"": [-89.99999541099999, 35.13973255700006], ""type"": ""Point""}";106217;470014802611;COMPASS COMMUNITY SCHOOL MIDTOWN CAMPUS;61 N. MCLEAN BLVD;MEMPHIS;TN;38104;NOT AVAILABLE;(901) 276-6700;1;1;287;SHELBY;47157;USA;35.13973255700006;-89.99999541099999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470014802611;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.compassmemphis.org;;265;08;12;4700148;22;NOT AVAILABLE
35.03440624800004, -89.70323031599997;"{""coordinates"": [-89.70323031599997, 35.03440624800004], ""type"": ""Point""}";106225;470014902515;SCHILLING FARMS ELEMENTARY SCHOOL;935 S. COLBERT ST;COLLIERVILLE;TN;38017;NOT AVAILABLE;(901) 853-3330;1;1;667;SHELBY;47157;USA;35.03440624800004;-89.70323031599997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470014902515;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;626;PK;05;4700149;41;NOT AVAILABLE
36.03893223800003, -87.26082427299997;"{""coordinates"": [-87.26082427299997, 36.03893223800003], ""type"": ""Point""}";106235;470102002610;BURNS MIDDLE SCHOOL;88 BOBCAT TRL;BURNS;TN;37029;NOT AVAILABLE;(615) 740-1860;1;1;426;DICKSON;47043;USA;36.03893223800003;-87.26082427299997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470102002610;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;398;06;08;4701020;28;NOT AVAILABLE
35.546266109000044, -89.24745316699995;"{""coordinates"": [-89.24745316699995, 35.546266109000044], ""type"": ""Point""}";106242;470177002618;SUNNY HILL INTERMEDIATE SCHOOL;2401 ANDERSON AVE;BROWNSVILLE;TN;38012;NOT AVAILABLE;(731) 772-3401;1;3;385;HAYWOOD;47075;USA;35.546266109000044;-89.24745316699995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470177002618;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://haywoodschools.com/sunny-hill-learning-center;;359;05;06;4701770;26;NOT AVAILABLE
35.02649059100003, -90.09177760499995;"{""coordinates"": [-90.09177760499995, 35.02649059100003], ""type"": ""Point""}";13310;470014801176;WESTWOOD HIGH;4480 WESTMONT RD;MEMPHIS;TN;38109;5646;(901) 416-8000;1;1;378;SHELBY;47157;USA;35.02649059100003;-90.09177760499995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470014801176;2016-01-05T00:00:00Z;IMAGERY/OTHER;2016-01-07T00:00:00Z;http://www.mcsk12.net;ELEMENTARY;356;09;12;4700148;22;NOT AVAILABLE
35.85991892100003, -83.55602055099996;"{""coordinates"": [-83.55602055099996, 35.85991892100003], ""type"": ""Point""}";17462;470378001563;T LAWSON EARLY CHILDHOOD EDUCATION CENTER;550 EAST GATE RD;SEVIERVILLE;TN;37862;NOT AVAILABLE;(865) 428-5793;2;1;103;SEVIER;47155;USA;35.85991892100003;-83.55602055099996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470378001563;2009-11-09T00:00:00Z;IMAGERY;2013-05-28T00:00:00Z;NOT AVAILABLE;ELEMENTARY;99;PK;KG;4703780;4;NOT AVAILABLE
35.19063085600004, -85.19093915999997;"{""coordinates"": [-85.19093915999997, 35.19063085600004], ""type"": ""Point""}";18369;470159000504;MIDDLE VALLEY ELEMENTARY;1609 THRASHER PIKE;HIXSON;TN;37343;NOT AVAILABLE;(423) 843-4700;1;1;805;HAMILTON;47065;USA;35.19063085600004;-85.19093915999997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470159000504;2009-12-10T00:00:00Z;IMAGERY/OTHER;2016-09-19T00:00:00Z;http://mves.hcde.org/;ELEMENTARY;755;PK;05;4701590;50;NOT AVAILABLE
35.11992378200006, -89.99262850599996;"{""coordinates"": [-89.99262850599996, 35.11992378200006], ""type"": ""Point""}";18572;470014801132;PEABODY ELEMENTARY;2086 YOUNG AVE;MEMPHIS;TN;38104;5645;(901) 416-4606;1;1;372;SHELBY;47157;USA;35.11992378200006;-89.99262850599996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470014801132;2016-01-05T00:00:00Z;IMAGERY/OTHER;2016-01-07T00:00:00Z;http://www.mcsk12.net;HIGH;350;PK;05;4700148;22;NOT AVAILABLE
