Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
17.746377779000056, -64.71526308699998;"{""coordinates"": [-64.71526308699998, 17.746377779000056], ""type"": ""Point""}";19012;780000200021;JUANITA GARDINE ELEMENTARY SCHOOL;ESTATE RICHMOND;SAINT CROIX;VI;00820;NOT AVAILABLE;(340) 773-0050;1;1;407;ST. CROIX;78010;VIR;17.746377779000056;-64.71526308699998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200021;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-08T00:00:00Z;NOT AVAILABLE;ELEMENTARY;371;KG;08;7800002;36;10809120
18.32485753000003, -64.85390033299996;"{""coordinates"": [-64.85390033299996, 18.32485753000003], ""type"": ""Point""}";68019;780003000015;IVANNA EUDORA KEAN HIGH SCHOOL;1 AND 2 ESTATE NAZARETH;SAINT THOMAS;VI;00802;NOT AVAILABLE;(340) 775-6380;1;1;755;ST. THOMAS;78030;VIR;18.32485753000003;-64.85390033299996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780003000015;2010-01-29T00:00:00Z;IMAGERY/OTHER;2020-01-06T00:00:00Z;NOT AVAILABLE;HIGH;680;09;12;7800030;75;NOT AVAILABLE
17.72513814200005, -64.76075538399994;"{""coordinates"": [-64.76075538399994, 17.72513814200005], ""type"": ""Point""}";62882;780000200029;RICARDO RICHARDS ELEMENTARY SCCHOOL;491 BARREN SPOT;SAINT CROIX;VI;00850;NOT AVAILABLE;(340) 778-0612;1;1;450;ST. CROIX;78010;VIR;17.72513814200005;-64.76075538399994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200029;2010-01-29T00:00:00Z;IMAGERY;2010-09-08T00:00:00Z;NOT AVAILABLE;ELEMENTARY;427;PK;06;7800002;23;10809128
18.342012, -64.917561;"{""coordinates"": [-64.917561, 18.342012], ""type"": ""Point""}";58306;780003000033;CANCRYN JUNIOR HIGH SCHOOL;1 CROWN BAY;SAINT THOMAS;VI;00804;NOT AVAILABLE;(340) 774-4540;1;1;825;ST. THOMAS;78030;VIR;18.342012;-64.917561;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780003000033;2010-01-29T00:00:00Z;IMAGERY/OTHER;2022-05-19T00:00:00Z;NOT AVAILABLE;MIDDLE;763;04;08;7800030;62;NOT AVAILABLE
17.725462105000076, -64.78040032199993;"{""coordinates"": [-64.78040032199993, 17.725462105000076], ""type"": ""Point""}";42806;780000200030;SAINT CROIX CENTRAL HIGH;RSD 2 KINGSHILL;SAINT CROIX;VI;00851;NOT AVAILABLE;(340) 778-0123;1;1;864;ST. CROIX;78010;VIR;17.725462105000076;-64.78040032199993;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200030;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-12-29T00:00:00Z;NOT AVAILABLE;MIDDLE;796;09;12;7800002;68;10809116
17.735908539000036, -64.78160258999998;"{""coordinates"": [-64.78160258999998, 17.735908539000036], ""type"": ""Point""}";69084;780000200002;ALFREDO ANDREWS ELEMENTARY SCHOOL;RFD 1 KINGSHILL;SAINT CROIX;VI;00820;NOT AVAILABLE;(340) 778-1925;1;1;509;ST. CROIX;78010;VIR;17.735908539000036;-64.78160258999998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200002;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-13T00:00:00Z;NOT AVAILABLE;MIDDLE;478;KG;06;7800002;31;NOT AVAILABLE
17.722959701000036, -64.79860780599995;"{""coordinates"": [-64.79860780599995, 17.722959701000036], ""type"": ""Point""}";25373;780000200007;ST. CROIX EDUCATIONAL COMPLEX VOCATIONAL SCHOOL;RR2 KINGSHILL;SAINT CROIX;VI;00850;NOT AVAILABLE;(340) 778-2036;3;1;19;ST. CROIX;78010;VIR;17.722959701000036;-64.79860780599995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200007;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-08T00:00:00Z;NOT AVAILABLE;ELEMENTARY;0;N;N;7800002;19;10809124
18.352126182000063, -64.93246107499994;"{""coordinates"": [-64.93246107499994, 18.352126182000063], ""type"": ""Point""}";20462;780003000020;JOSEPH SIBILLY ELEMENTARY SCHOOL;14 15 16 ESTATE ELIZABETH;SAINT THOMAS;VI;00802;NOT AVAILABLE;(340) 774-7001;1;1;255;ST. THOMAS;78030;VIR;18.352126182000063;-64.93246107499994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780003000020;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-13T00:00:00Z;NOT AVAILABLE;NOT REPORTED;237;KG;06;7800030;18;10809121
17.744615418000024, -64.68647607499997;"{""coordinates"": [-64.68647607499997, 17.744615418000024], ""type"": ""Point""}";16204;780000200028;PEARL B. LARSEN ELEMENTARY SCHOOL;ESTATE ST PETERS;SAINT CROIX;VI;00820;NOT AVAILABLE;(340) 773-3070;1;1;453;ST. CROIX;78010;VIR;17.744615418000024;-64.68647607499997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200028;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-13T00:00:00Z;NOT AVAILABLE;HIGH;418;PK;08;7800002;35;NOT AVAILABLE
17.693582124000045, -64.88016606899998;"{""coordinates"": [-64.88016606899998, 17.693582124000045], ""type"": ""Point""}";34318;780000200003;ARTHUR A. RICHARDS JUNIOR HIGH SCHOOL;20 21 STONEY GROUND;SAINT CROIX;VI;00840;NOT AVAILABLE;(340) 772-1500;1;1;532;ST. CROIX;78010;VIR;17.693582124000045;-64.88016606899998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200003;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-08T00:00:00Z;NOT AVAILABLE;ELEMENTARY;487;KG;08;7800002;45;NOT AVAILABLE
18.342549271000053, -64.92582730199996;"{""coordinates"": [-64.92582730199996, 18.342549271000053], ""type"": ""Point""}";62437;780003000018;JANE E. TUITT ELEMENTARY SCHOOL;19 LEVOKI STRAEDE;SAINT THOMAS;VI;00802;NOT AVAILABLE;(340) 774-0520;1;1;243;ST. THOMAS;78030;VIR;18.342549271000053;-64.92582730199996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780003000018;2010-01-29T00:00:00Z;IMAGERY;2010-09-08T00:00:00Z;NOT AVAILABLE;NOT REPORTED;225;KG;05;7800030;18;NOT AVAILABLE
17.724821760000054, -64.78021029899998;"{""coordinates"": [-64.78021029899998, 17.724821760000054], ""type"": ""Point""}";71501;780000200013;ST. CROIX EDUCATIONAL COMPEX HIGH SCHOOL;RR2 KINGSHILL;SAINT CROIX;VI;00850;NOT AVAILABLE;(340) 778-2216;1;1;934;ST. CROIX;78010;VIR;17.724821760000054;-64.78021029899998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200013;2010-01-29T00:00:00Z;IMAGERY/OTHER;2017-10-31T00:00:00Z;NOT AVAILABLE;NOT REPORTED;877;09;12;7800002;57;NOT AVAILABLE
18.341955738000024, -64.91763003299997;"{""coordinates"": [-64.91763003299997, 18.341955738000024], ""type"": ""Point""}";13361;780003000024;LOCKHART ELEMENTARY SCHOOL;41 ESTATE THOMAS;SAINT THOMAS;VI;00802;NOT AVAILABLE;(340) 775-0820;1;1;354;ST. THOMAS;78030;VIR;18.341955738000024;-64.91763003299997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780003000024;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-09-13T00:00:00Z;NOT AVAILABLE;ELEMENTARY;328;KG;03;7800030;26;NOT AVAILABLE
17.704666175000057, -64.87837306599994;"{""coordinates"": [-64.87837306599994, 17.704666175000057], ""type"": ""Point""}";44312;780000200006;CLAUDE O. MARKOE ELEMENTARY SCHOOL;PLOTS 71 75 MARS HILL;SAINT CROIX;VI;00840;NOT AVAILABLE;(340) 772-4510;1;1;462;ST. CROIX;78010;VIR;17.704666175000057;-64.87837306599994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780000200006;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-12-29T00:00:00Z;NOT AVAILABLE;ELEMENTARY;429;PK;06;7800002;33;10809118
18.318219846000034, -64.89030169499995;"{""coordinates"": [-64.89030169499995, 18.318219846000034], ""type"": ""Point""}";48223;780003000034;BERTHA BOSCHULTE JUNIOR HIGH;9 1 AND 12A BOVONI;SAINT THOMAS;VI;00802;NOT AVAILABLE;(340) 775-4222;1;1;624;ST. THOMAS;78030;VIR;18.318219846000034;-64.89030169499995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=780003000034;2010-01-29T00:00:00Z;IMAGERY/OTHER;2017-10-31T00:00:00Z;NOT AVAILABLE;ELEMENTARY;577;06;08;7800030;47;10809112
