Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
47.572251659000074, -122.61213802799995;"{""coordinates"": [-122.61213802799995, 47.572251659000074], ""type"": ""Point""}";106359;530034703723;CATALYST PUBLIC SCHOOLS;1305 IRONSIDES AVE;BREMERTON;WA;98310;NOT AVAILABLE;(360) 830-6037;1;3;175;KITSAP;53035;USA;47.572251659000074;-122.61213802799995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530034703723;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;165;KG;08;5300347;10;NOT AVAILABLE
47.67044565600003, -117.13302266399995;"{""coordinates"": [-117.13302266399995, 47.67044565600003], ""type"": ""Point""}";106373;530111003706;SELKIRK MIDDLE SCHOOL;1409 N HARVEST PARKWAY;LIBERTY LAKE;WA;99016;NOT AVAILABLE;(509) 558-6200;1;1;541;SPOKANE;53063;USA;47.67044565600003;-117.13302266399995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530111003706;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;518;06;08;5301110;23;NOT AVAILABLE
47.318088275000036, -119.53706051799998;"{""coordinates"": [-119.53706051799998, 47.318088275000036], ""type"": ""Point""}";106387;530261003671;SAGE HILLS ECEAP;35 K ST SE;EPHRATA;WA;98823;NOT AVAILABLE;(509) 754-7547;1;1;56;GRANT;53025;USA;47.318088275000036;-119.53706051799998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530261003671;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;55;PK;PK;5302610;1;NOT AVAILABLE
47.47736499400003, -122.29950765499996;"{""coordinates"": [-122.29950765499996, 47.47736499400003], ""type"": ""Point""}";106396;530354003674;GLACIER MIDDLE SCHOOL;2450 SOUTH 142ND STREET;SEATAC;WA;98168;NOT AVAILABLE;(206) 631-5300;1;1;1032;KING;53033;USA;47.47736499400003;-122.29950765499996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530354003674;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;981;06;08;5303540;51;NOT AVAILABLE
48.32898607300007, -122.67359782099999;"{""coordinates"": [-122.67359782099999, 48.32898607300007], ""type"": ""Point""}";106427;530594003740;OAK HARBOR VIRTUAL ACADEMY;600 CHEROKEE ST;OAK HARBOR;WA;98277;NOT AVAILABLE;(360) 279-5900;4;3;264;ISLAND;53029;USA;48.32898607300007;-122.67359782099999;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530594003740;2021-10-07T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;264;KG;12;5305940;-999;NOT AVAILABLE
45.70099203500007, -121.888224934;"{""coordinates"": [-121.888224934, 45.70099203500007], ""type"": ""Point""}";106472;530852003701;OPEN DOORS FOR STEVENSON HIGH SCHOOL;390 NW GROPPER ROAD;STEVENSON;WA;98648;NOT AVAILABLE;(509) 427-5631;4;1;0;SKAMANIA;53059;USA;45.70099203500007;-121.888224934;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530852003701;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;NOT AVAILABLE;;0;09;12;5308520;0;NOT AVAILABLE
47.656396004000044, -117.40922113099998;"{""coordinates"": [-117.40922113099998, 47.656396004000044], ""type"": ""Point""}";10843;530825002361;A-3 MULTIAGENCY ADOLESCENT PROG;1807 N. WASHINGTON;SPOKANE;WA;99205;NOT AVAILABLE;(509) 354-6299;1;1;33;SPOKANE;53063;USA;47.656396004000044;-117.40922113099998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530825002361;2009-10-13T00:00:00Z;IMAGERY/OTHER;2017-10-31T00:00:00Z;http://www.spokaneschools.org;OTHER;29;06;12;5308250;4;NOT AVAILABLE
47.008314486000074, -120.55913774699997;"{""coordinates"": [-120.55913774699997, 47.008314486000074], ""type"": ""Point""}";14018;530246000368;MT. STUART ELEMENTARY;705 W. 15TH;ELLENSBURG;WA;98926;NOT AVAILABLE;(509) 925-8400;1;1;461;KITTITAS;53037;USA;47.008314486000074;-120.55913774699997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530246000368;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-08-04T00:00:00Z;NOT AVAILABLE;MIDDLE;430;KG;05;5302460;31;NOT AVAILABLE
47.65846821700006, -117.20124303499995;"{""coordinates"": [-117.20124303499995, 47.65846821700006], ""type"": ""Point""}";14766;530111003012;SCHOOL TO LIFE;15111 E SPRAGUE AVE;SPOKANE VALLEY;WA;99037;8579;(509) 558-5950;2;1;34;SPOKANE;53063;USA;47.65846821700006;-117.20124303499995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530111003012;2010-01-29T00:00:00Z;IMAGERY/OTHER;2020-03-17T00:00:00Z;http://www.cvsd.org/;ELEMENTARY;34;12;12;5301110;-999;NOT AVAILABLE
48.06212428600003, -122.19882601799998;"{""coordinates"": [-122.19882601799998, 48.06212428600003], ""type"": ""Point""}";15066;530486003102;LEGACY HIGH SCHOOL;7204 27TH AVE NE;MARYSVILLE;WA;98271;NOT AVAILABLE;(360) 965-3000;1;1;303;SNOHOMISH;53061;USA;48.06212428600003;-122.19882601799998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530486003102;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-08-13T00:00:00Z;http://msd25.org;ELEMENTARY;285;09;12;5304860;18;NOT AVAILABLE
