Geo Point;Geo Shape;OBJECTID;NCESID;NAME;ADDRESS;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;LATITUDE;LONGITUDE;NAICS_CODE;NAICS_DESC;SOURCE;SOURCEDATE;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL_;ENROLLMENT;ST_GRADE;END_GRADE;DISTRICTID;FT_TEACHER;SHELTER_ID
43.370167335000076, -110.74325251;"{""coordinates"": [-110.74325251, 43.370167335000076], ""type"": ""Point""}";106578;560583000583;MUNGER MOUNTAIN ELEMENTARY SCHOOL;7605 SOUTH HIGHWAY 89;JACKSON;WY;83001;NOT AVAILABLE;(307) 733-3020;1;1;469;TETON;56039;USA;43.370167335000076;-110.74325251;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560583000583;2021-03-17T00:00:00Z;IMAGERY/OTHER;2022-05-13T00:00:00Z;http://www.tcsd.org/9/home;;433;KG;05;5605830;36;NOT AVAILABLE
42.82558517000007, -106.35001805699994;"{""coordinates"": [-106.35001805699994, 42.82558517000007], ""type"": ""Point""}";2104;560451000232;C Y JUNIOR MIDDLE SCHOOL;2900 CYCLONE DRIVE;CASPER;WY;82604;NOT AVAILABLE;(307) 253-2700;1;1;880;NATRONA;56025;USA;42.82558517000007;-106.35001805699994;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560451000232;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-07-27T00:00:00Z;http://www.natronaschools.org/school.php?id=57;HIGH;827;06;08;5604510;53;10800989
44.87625197400007, -108.46440908799997;"{""coordinates"": [-108.46440908799997, 44.87625197400007], ""type"": ""Point""}";5267;560142000046;ROCKY MOUNTAIN HIGH SCHOOL;404 SOUTH 3RD EAST;COWLEY;WY;82420;NOT AVAILABLE;(307) 548-2723;1;1;523;BIG HORN;56003;USA;44.87625197400007;-108.46440908799997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560142000046;2010-01-29T00:00:00Z;IMAGERY/OTHER;2019-10-09T00:00:00Z;http://www.bighorn1.com/rmhs;ELEMENTARY;502;09;12;5601420;21;NOT AVAILABLE
42.83801508300007, -108.74845050299996;"{""coordinates"": [-108.74845050299996, 42.83801508300007], ""type"": ""Point""}";7137;560287000539;BALDWIN CREEK ELEMENTARY;350 SMITH STREET;LANDER;WY;82520;NOT AVAILABLE;(307) 332-6967;1;1;273;FREMONT;56013;USA;42.83801508300007;-108.74845050299996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560287000539;2014-02-04T00:00:00Z;IMAGERY;2014-05-08T00:00:00Z;http://www.landerschools.org;ELEMENTARY;253;04;05;5602870;20;NOT AVAILABLE
42.82886598500005, -106.26878519999997;"{""coordinates"": [-106.26878519999997, 42.82886598500005], ""type"": ""Point""}";91124;560451000451;SUMMIT ELEMENTARY SCHOOL;2210 WATERFORD STREET;CASPER;WY;82609;NOT AVAILABLE;(307) 253-3000;1;1;449;NATRONA;56025;USA;42.82886598500005;-106.2687852;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560451000451;2012-11-02T00:00:00Z;IMAGERY/OTHER;2013-02-26T00:00:00Z;http://summitelementary.weebly.com/;HIGH;423;KG;05;5604510;26;NOT AVAILABLE
41.501961763000054, -109.46750814799998;"{""coordinates"": [-109.46750814799998, 41.501961763000054], ""type"": ""Point""}";92195;560576200324;GREEN RIVER HIGH SCHOOL;1615 HITCHING POST DRIVE;GREEN RIVER;WY;82935;NOT AVAILABLE;(307) 872-4747;1;1;741;SWEETWATER;56037;USA;41.501961763000054;-109.46750814799998;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560576200324;2009-10-13T00:00:00Z;IMAGERY/OTHER;2010-07-27T00:00:00Z;http://www.swcsd2.org;ELEMENTARY;696;09;12;5605762;45;NOT AVAILABLE
42.05873132900007, -104.16535074499996;"{""coordinates"": [-104.16535074499996, 42.05873132900007], ""type"": ""Point""}";95337;560299000464;LINCOLN ELEMENTARY;1402 EAST P STREET;TORRINGTON;WY;82240;NOT AVAILABLE;(307) 532-4003;1;1;277;GOSHEN;56015;USA;42.05873132900007;-104.16535074499996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560299000464;2010-01-29T00:00:00Z;IMAGERY/OTHER;2010-07-27T00:00:00Z;http://www.goshen1.org;MIDDLE;254;KG;02;5602990;23;NOT AVAILABLE
43.013266256000065, -108.77207460399995;"{""coordinates"": [-108.77207460399995, 43.013266256000065], ""type"": ""Point""}";96577;560445000441;WYOMING INDIAN HIGH SCHOOL;636 BLUE SKY HIGHWAY;ETHETE;WY;82520;NOT AVAILABLE;(307) 332-9765;1;1;217;FREMONT;56013;USA;43.013266256000065;-108.77207460399995;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560445000441;2009-10-13T00:00:00Z;IMAGERY/OTHER;2010-07-27T00:00:00Z;http://www.fremont14.k12.wy.us/;HIGH;196;09;12;5604450;21;NOT AVAILABLE
41.08868416200005, -104.80402540899996;"{""coordinates"": [-104.80402540899996, 41.08868416200005], ""type"": ""Point""}";98828;560198000480;AFFLERBACH ELEMENTARY;400 WEST WALLICK ROAD;CHEYENNE;WY;12345;4554;(307) 771-2300;1;1;430;LARAMIE;56021;USA;41.08868416200005;-104.80402540899996;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560198000480;2009-10-13T00:00:00Z;IMAGERY;2013-05-28T00:00:00Z;http://afflerbach.laramie1.org/;ELEMENTARY;396;PK;06;5601980;34;NOT AVAILABLE
41.348204374000034, -105.58851567199997;"{""coordinates"": [-105.58851567199997, 41.348204374000034], ""type"": ""Point""}";98939;560000900145;CATHEDRAL HOME FOR CHILDREN;4989 NORTH 3RD STREET;LARAMIE;WY;82072;NOT AVAILABLE;(307) 745-8997;4;1;37;ALBANY;56001;USA;41.348204374000034;-105.58851567199997;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=560000900145;2010-01-29T00:00:00Z;IMAGERY;2017-10-31T00:00:00Z;http://www.cathedralhome.org;NOT REPORTED;24;04;12;5600009;13;NOT AVAILABLE
